district,town,destination_name,category
Kadapa,Cuddapah,Sri Venkateswara Wildlife Sanctuary,Wildlife
Kadapa,Cuddapah,Sri Lakka Malleswara Wildlife Sanctuary,Wildlife
Kadapa,Cuddapah,Bhagavan Mahavir Government Museum,Museum
Kurnool,Kurnool,Kurnool Fort,Fort
Kurnool,Kurnool,Rollapadu Bird Sanctuary,Wildlife
Kurnool,Kurnool,Belum Caves,Cave
Kurnool,Adoni,Mantralayam,Temple
Kurnool,Srisailam,Srisailam Nagarjuna Sagar Tiger Reserve,Wildlife
Kurnool,Srisailam,Srisailam Temple,Temple
Kurnool,Nandyal,Sri Lakshmi Narasimha Swamy Temple,Temple
Kurnool,Nandyal,Mahanandi,Temple
Kurnool,Nandyal,Ahobilam,Temple
Kurnool,Nandyal,Yaganti Caves,Cave
Anantapur,Rayadurg,Rayadurg Fort,Fort
Anantapur,Gooty,Gooty Fort,Fort
Anantapur,Anantapur,Thimmamma Marrimanu,Nature
Anantapur,Dharmavaram,Dharmavaram,Tourist Place
Anantapur,Hindupur,Hemavati,Heritage
Anantapur,Hindupur,Penukonda Fort,Fort
Anantapur,Hindupur,Prasanthi Nilayam,Spiritual
Anantapur,Hindupur,Lepakshi Temple,Temple
Chittoor,Tirupati,Goddess Alamelumanga Temple,Temple
Chittoor,Tirupati,Lord Venkateswara Temple,Temple
Chittoor,Tirupati,Chandragiri Fort,Fort
Chittoor,Tirupati,Sri Venkateswara Sanctuary,Wildlife
Chittoor,Tirupati,Kanipakam,Temple
Chittoor,Madanapalle,Talakona,Waterfall
Chittoor,Madanapalle,Horsley Hills,Hill Station
Srikakulam,Srikakulam,Arasavalli Temple,Temple
Srikakulam,Srikakulam,Kalingapatnam Beach,Beach
Srikakulam,Srikakulam,Telineelapuram Bird Sanctuary,Wildlife
Srikakulam,Srikakulam,Telukunchi Bird Sanctuary,Wildlife
Srikakulam,Srikakulam,Srikurmam Temple,Temple
Srikakulam,Srikakulam,Salihundam,Heritage
Srikakulam,Srikakulam,Srimukhalingam Temple,Temple
Vizianagaram,Bobbili,Bobbili Fort,Fort
Vizianagaram,Bobbili,Ramatheertham,Heritage
Vizianagaram,Bobbili,Punyagiri,Temple
Vizianagaram,Vizianagaram,Vizianagaram Fort,Fort
Vizianagaram,Vizianagaram,Thatipudi Reservoir,Nature
Vizianagaram,Vizianagaram,Govindapuram,Tourist Place
Visakhapatnam,Bheemunipatnam,Bheemunipatnam Beach,Beach
Visakhapatnam,Anakapalle,Sankaram,Heritage
Visakhapatnam,Visakhapatnam,Dolphins Nose,View Point
Visakhapatnam,Visakhapatnam,Indira Gandhi Zoological Park,Zoo
Visakhapatnam,Visakhapatnam,Kailasagiri,Hill Station
Visakhapatnam,Visakhapatnam,Lawsons Bay,Beach
Visakhapatnam,Visakhapatnam,Borra Caves,Cave
Visakhapatnam,Visakhapatnam,Bavikonda,Heritage
Visakhapatnam,Visakhapatnam,Thotlakonda,Heritage
Visakhapatnam,Visakhapatnam,Rushikonda Beach,Beach
Visakhapatnam,Visakhapatnam,Simhachalam Temple,Temple
Visakhapatnam,Visakhapatnam,Tyda,Nature
Visakhapatnam,Visakhapatnam,Yerramattidibba Beach,Beach
Visakhapatnam,Visakhapatnam,Ananthagiri Hills,Hill Station
Visakhapatnam,Visakhapatnam,Araku Valley,Hill Station
